OrderID,CustomerID,ProductID,TerritoryID,OrderDate,Quantity,UnitPrice,SalesAmount
ORD000031,CUST0010,P004,T006,2024-09-05,3,45000,135000
ORD000032,CUST0124,P029,T002,2023-11-11,2,1200,2400
ORD000033,CUST0390,P018,T003,2023-03-29,4,1200,4800
ORD000034,CUST0085,P009,T007,2023-05-12,4,65000,260000
ORD000035,CUST0354,P007,T005,2023-08-05,5,85000,425000
ORD000036,CUST0265,P015,T002,2024-02-13,3,45000,135000
ORD000037,CUST0174,P001,T004,2023-09-11,2,1200,2400
ORD000038,CUST0037,P023,T001,2024-08-25,2,1200,2400
ORD000039,CUST0441,P011,T002,2023-08-23,1,1200,1200
ORD000040,CUST0343,P016,T004,2024-06-10,2,32000,64000
ORD000041,CUST0293,P019,T008,2024-07-06,2,85000,170000
ORD000042,CUST0098,P004,T002,2023-09-06,4,45000,180000
ORD000043,CUST0217,P014,T008,2024-11-05,4,32000,128000
ORD000044,CUST0335,P021,T002,2025-01-16,1,85000,85000
ORD000045,CUST0174,P026,T002,2023-03-04,4,85000,340000
ORD000046,CUST0275,P015,T003,2023-09-12,2,7500,15000
ORD000047,CUST0237,P008,T002,2024-03-08,2,32000,64000
ORD000048,CUST0026,P021,T001,2024-03-29,5,1200,6000
ORD000049,CUST0209,P016,T008,2023-04-06,2,7500,15000
ORD000050,CUST0085,P013,T001,2023-08-07,4,1200,4800
ORD000051,CUST0147,P014,T008,2024-02-04,3,45000,135000
ORD000052,CUST0112,P002,T001,2023-06-08,2,32000,64000
ORD000053,CUST0026,P019,T008,2025-02-04,3,1200,3600
ORD000054,CUST0030,P017,T002,2024-05-29,5,7500,37500
ORD000055,CUST0035,P022,T004,2023-07-10,1,65000,65000
ORD000056,CUST0127,P019,T001,2024-02-18,1,65000,65000
ORD000057,CUST0337,P019,T006,2024-09-26,1,45000,45000
ORD000058,CUST0367,P011,T004,2023-09-25,2,85000,170000
ORD000059,CUST0344,P021,T005,2023-09-29,4,7500,30000
ORD000060,CUST0005,P015,T002,2024-04-13,3,1200,3600
ORD000061,CUST0260,P009,T003,2023-03-17,5,7500,37500
ORD000062,CUST0190,P010,T003,2023-12-24,1,7500,7500
ORD000063,CUST0155,P020,T001,2024-03-24,5,85000,425000
ORD000064,CUST0340,P004,T003,2024-11-14,5,32000,160000
ORD000065,CUST0381,P018,T003,2023-09-28,1,1200,1200
ORD000066,CUST0108,P023,T006,2023-10-06,3,65000,195000
ORD000067,CUST0251,P009,T001,2023-07-28,3,65000,195000
ORD000068,CUST0023,P001,T006,2023-04-05,4,32000,128000
ORD000069,CUST0135,P006,T008,2025-02-28,2,85000,170000
ORD000070,CUST0005,P004,T002,2024-07-18,4,65000,260000
ORD000071,CUST0019,P027,T006,2024-12-08,2,65000,130000
ORD000072,CUST0221,P005,T001,2024-08-19,5,7500,37500
ORD000073,CUST0184,P007,T004,2023-11-12,3,1200,3600
ORD000074,CUST0400,P018,T007,2024-11-13,1,32000,32000
ORD000075,CUST0443,P006,T003,2024-09-27,2,7500,15000
ORD000076,CUST0378,P030,T006,2024-02-27,1,7500,7500
ORD000077,CUST0082,P026,T002,2024-02-26,2,32000,64000
ORD000078,CUST0114,P007,T008,2024-01-27,1,45000,45000
ORD000079,CUST0115,P001,T004,2023-12-25,3,7500,22500
ORD000080,CUST0443,P003,T005,2024-02-13,3,32000,96000
ORD000081,CUST0348,P027,T006,2023-12-26,5,45000,225000
ORD000082,CUST0092,P019,T005,2023-01-29,1,32000,32000
ORD000083,CUST0223,P012,T006,2023-02-09,1,65000,65000
ORD000084,CUST0060,P013,T004,2024-03-22,5,65000,325000
ORD000085,CUST0224,P001,T004,2023-09-18,1,85000,85000
ORD000086,CUST0341,P030,T006,2024-01-08,4,1200,4800
ORD000087,CUST0435,P004,T005,2024-09-30,3,85000,255000
ORD000088,CUST0210,P011,T007,2024-06-03,3,85000,255000
ORD000089,CUST0066,P007,T007,2024-12-14,3,65000,195000
ORD000090,CUST0384,P029,T003,2024-11-11,4,85000,340000
ORD000091,CUST0208,P018,T001,2024-09-22,5,32000,160000
ORD000092,CUST0221,P026,T006,2023-11-08,3,7500,22500
ORD000093,CUST0346,P007,T008,2024-04-21,4,45000,180000
ORD000094,CUST0044,P010,T006,2025-01-23,2,85000,170000
ORD000095,CUST0159,P008,T004,2023-04-06,2,85000,170000
ORD000096,CUST0126,P016,T002,2023-05-31,1,1200,1200
ORD000097,CUST0295,P007,T007,2024-04-11,4,85000,340000
ORD000098,CUST0076,P021,T001,2024-05-21,4,7500,30000
ORD000099,CUST0113,P006,T008,2025-02-07,1,45000,45000
ORD000100,CUST0435,P004,T008,2023-02-21,5,7500,37500
ORD000101,CUST0272,P018,T006,2023-05-17,4,85000,340000
ORD000102,CUST0418,P024,T007,2025-02-12,4,65000,260000
ORD000103,CUST0381,P028,T008,2024-07-15,4,7500,30000
ORD000104,CUST0431,P021,T005,2024-04-05,3,7500,22500
ORD000105,CUST0321,P008,T005,2025-02-23,5,45000,225000
ORD000106,CUST0147,P008,T005,2024-03-26,1,85000,85000
ORD000107,CUST0042,P005,T003,2023-12-10,3,65000,195000
ORD000108,CUST0079,P023,T004,2023-08-25,4,85000,340000
ORD000109,CUST0170,P018,T008,2023-03-07,4,45000,180000
ORD000110,CUST0427,P014,T007,2024-03-01,1,7500,7500
ORD000111,CUST0011,P028,T007,2025-02-27,5,85000,425000
ORD000112,CUST0153,P025,T007,2024-05-03,1,32000,32000
ORD000113,CUST0377,P018,T004,2024-03-05,5,85000,425000
ORD000114,CUST0224,P016,T001,2024-05-14,2,32000,64000
ORD000115,CUST0348,P026,T007,2024-02-03,3,85000,255000
ORD000116,CUST0066,P020,T001,2025-01-11,2,45000,90000
ORD000117,CUST0340,P001,T002,2024-02-08,5,65000,325000
ORD000118,CUST0444,P015,T003,2024-10-20,4,7500,30000
ORD000119,CUST0168,P007,T008,2023-02-21,3,45000,135000
ORD000120,CUST0143,P025,T007,2023-12-01,3,45000,135000
ORD000121,CUST0010,P024,T001,2023-09-16,1,45000,45000
ORD000122,CUST0036,P025,T001,2023-12-25,2,85000,170000
ORD000123,CUST0103,P027,T001,2025-02-11,1,7500,7500
ORD000124,CUST0065,P016,T002,2024-09-28,2,7500,15000
ORD000125,CUST0359,P009,T006,2024-07-31,2,45000,90000
ORD000126,CUST0383,P023,T002,2023-06-21,5,65000,325000
ORD000127,CUST0056,P019,T001,2025-03-07,2,32000,64000
ORD000128,CUST0193,P013,T004,2023-11-16,5,85000,425000
ORD000129,CUST0426,P021,T004,2023-03-19,5,85000,425000
ORD000130,CUST0308,P026,T002,2023-04-15,3,85000,255000
ORD000131,CUST0273,P014,T006,2024-08-02,1,32000,32000
ORD000132,CUST0175,P001,T007,2023-03-12,5,85000,425000
ORD000133,CUST0186,P021,T008,2024-05-16,1,45000,45000
ORD000134,CUST0091,P024,T005,2024-12-25,2,45000,90000
ORD000135,CUST0239,P014,T005,2024-09-22,5,45000,225000
ORD000136,CUST0143,P029,T008,2023-11-27,2,1200,2400
ORD000137,CUST0313,P022,T007,2023-09-07,4,65000,260000
ORD000138,CUST0436,P011,T003,2023-12-11,1,45000,45000
ORD000139,CUST0409,P009,T006,2024-05-14,2,32000,64000
ORD000140,CUST0142,P018,T001,2023-10-14,5,85000,425000
ORD000141,CUST0124,P024,T007,2024-06-13,2,1200,2400
ORD000142,CUST0354,P016,T008,2024-05-15,5,7500,37500
ORD000143,CUST0151,P008,T007,2024-04-03,1,1200,1200
ORD000144,CUST0340,P019,T006,2024-12-09,2,32000,64000
ORD000145,CUST0177,P014,T006,2024-04-29,5,65000,325000
ORD000146,CUST0157,P009,T004,2023-12-27,4,32000,128000
ORD000147,CUST0062,P024,T003,2023-05-04,2,32000,64000
ORD000148,CUST0248,P009,T005,2023-07-16,2,85000,170000
ORD000149,CUST0117,P012,T003,2023-04-13,2,32000,64000
ORD000150,CUST0274,P005,T005,2023-11-06,1,85000,85000
ORD000151,CUST0150,P023,T003,2023-02-16,1,65000,65000
ORD000152,CUST0447,P001,T005,2024-10-15,4,1200,4800
ORD000153,CUST0175,P006,T001,2024-04-25,4,45000,180000
ORD000154,CUST0421,P003,T007,2023-09-16,4,1200,4800
ORD000155,CUST0323,P022,T001,2024-05-18,1,65000,65000
ORD000156,CUST0156,P003,T004,2023-06-05,2,65000,130000
ORD000157,CUST0311,P020,T004,2023-05-02,5,45000,225000
ORD000158,CUST0231,P030,T008,2025-03-05,5,45000,225000
ORD000159,CUST0157,P019,T001,2023-11-01,5,45000,225000
ORD000160,CUST0321,P007,T005,2024-09-16,1,7500,7500
ORD000161,CUST0123,P006,T002,2024-11-07,1,7500,7500
ORD000162,CUST0231,P023,T008,2023-06-10,1,45000,45000
ORD000163,CUST0148,P023,T005,2023-10-26,1,7500,7500
ORD000164,CUST0352,P008,T005,2024-12-20,4,1200,4800
ORD000165,CUST0412,P030,T004,2024-10-02,5,85000,425000
ORD000166,CUST0116,P021,T003,2024-03-11,1,65000,65000
ORD000167,CUST0031,P006,T005,2023-09-30,2,1200,2400
ORD000168,CUST0225,P004,T008,2024-09-01,5,32000,160000
ORD000169,CUST0207,P009,T008,2024-12-06,3,85000,255000
ORD000170,CUST0021,P029,T007,2024-03-24,1,65000,65000
ORD000171,CUST0129,P001,T002,2025-01-22,3,65000,195000
ORD000172,CUST0011,P025,T005,2023-08-23,5,65000,325000
ORD000173,CUST0241,P017,T008,2024-08-13,1,7500,7500
ORD000174,CUST0224,P021,T008,2023-10-12,2,65000,130000
ORD000175,CUST0210,P011,T006,2023-04-04,4,32000,128000
ORD000176,CUST0169,P014,T008,2024-11-17,1,7500,7500
ORD000177,CUST0019,P015,T002,2023-10-23,4,65000,260000
ORD000178,CUST0060,P025,T007,2023-11-19,3,32000,96000
ORD000179,CUST0446,P018,T008,2024-06-10,1,85000,85000
ORD000180,CUST0266,P012,T008,2024-02-28,1,7500,7500
ORD000181,CUST0105,P009,T003,2024-10-02,4,1200,4800
ORD000182,CUST0249,P004,T001,2023-10-22,4,85000,340000
ORD000183,CUST0364,P006,T005,2024-10-07,5,7500,37500
ORD000184,CUST0209,P003,T004,2024-07-18,1,65000,65000
ORD000185,CUST0332,P027,T003,2023-04-27,4,1200,4800
ORD000186,CUST0362,P009,T007,2024-05-25,3,65000,195000
ORD000187,CUST0234,P018,T003,2024-05-09,4,7500,30000
ORD000188,CUST0261,P024,T003,2024-01-28,2,65000,130000
ORD000189,CUST0175,P030,T005,2023-03-13,3,45000,135000
ORD000190,CUST0153,P027,T008,2023-01-03,3,85000,255000
ORD000191,CUST0248,P012,T006,2023-06-02,4,65000,260000
ORD000192,CUST0234,P030,T006,2024-07-19,5,45000,225000
ORD000193,CUST0197,P008,T007,2023-07-13,2,65000,130000
ORD000194,CUST0243,P023,T007,2023-02-14,3,85000,255000
ORD000195,CUST0019,P005,T006,2024-01-31,2,45000,90000
ORD000196,CUST0270,P030,T008,2023-04-13,4,1200,4800
ORD000197,CUST0446,P021,T003,2023-01-16,2,45000,90000
ORD000198,CUST0174,P020,T007,2023-03-18,4,32000,128000
ORD000199,CUST0437,P022,T007,2024-10-27,1,32000,32000
ORD000200,CUST0019,P020,T002,2023-11-21,4,65000,260000
ORD000201,CUST0383,P003,T007,2023-08-29,3,7500,22500
ORD000202,CUST0086,P023,T005,2023-04-11,1,45000,45000
ORD000203,CUST0408,P002,T005,2023-01-30,1,32000,32000
ORD000204,CUST0075,P008,T007,2024-01-03,3,45000,135000
ORD000205,CUST0090,P003,T007,2024-08-02,2,7500,15000
ORD000206,CUST0299,P005,T004,2024-09-26,2,45000,90000
ORD000207,CUST0131,P022,T001,2024-04-17,3,45000,135000
ORD000208,CUST0280,P006,T002,2024-04-21,3,85000,255000
ORD000209,CUST0154,P021,T007,2024-03-28,3,65000,195000
ORD000210,CUST0433,P010,T004,2024-12-07,3,45000,135000
ORD000211,CUST0122,P013,T006,2024-01-29,4,1200,4800
ORD000212,CUST0152,P001,T007,2024-08-11,3,85000,255000
ORD000213,CUST0443,P022,T001,2023-10-09,1,65000,65000
ORD000214,CUST0398,P026,T004,2024-09-12,4,32000,128000
ORD000215,CUST0326,P007,T005,2024-09-13,3,7500,22500
ORD000216,CUST0050,P029,T001,2024-11-25,2,85000,170000
ORD000217,CUST0297,P012,T003,2023-11-13,4,1200,4800
ORD000218,CUST0383,P014,T003,2023-04-03,3,32000,96000
ORD000219,CUST0449,P012,T005,2023-07-25,2,65000,130000
ORD000220,CUST0413,P010,T006,2023-06-18,3,45000,135000
ORD000221,CUST0073,P025,T004,2023-04-28,4,1200,4800
ORD000222,CUST0188,P003,T007,2024-11-23,4,65000,260000
ORD000223,CUST0064,P015,T006,2023-01-15,3,65000,195000
ORD000224,CUST0196,P027,T006,2024-11-19,3,65000,195000
ORD000225,CUST0013,P020,T006,2023-04-21,2,45000,90000
ORD000226,CUST0033,P021,T008,2024-09-16,2,85000,170000
ORD000227,CUST0210,P004,T003,2024-12-18,3,85000,255000
ORD000228,CUST0253,P004,T002,2023-02-16,1,32000,32000
ORD000229,CUST0199,P015,T006,2023-08-29,5,7500,37500
ORD000230,CUST0301,P024,T003,2024-11-17,5,45000,225000
ORD000231,CUST0316,P014,T005,2024-02-29,1,45000,45000
ORD000232,CUST0228,P015,T004,2023-02-03,3,7500,22500
ORD000233,CUST0189,P018,T006,2024-01-07,1,85000,85000
ORD000234,CUST0098,P004,T008,2023-03-04,4,32000,128000
ORD000235,CUST0328,P020,T001,2023-04-04,2,85000,170000
ORD000236,CUST0065,P026,T004,2023-02-21,3,7500,22500
ORD000237,CUST0301,P007,T004,2023-03-12,5,7500,37500
ORD000238,CUST0002,P009,T003,2023-12-03,2,65000,130000
ORD000239,CUST0409,P006,T002,2023-05-14,5,32000,160000
ORD000240,CUST0008,P012,T004,2024-11-07,1,7500,7500
ORD000241,CUST0090,P009,T001,2024-08-25,3,1200,3600
ORD000242,CUST0059,P024,T002,2023-05-10,4,65000,260000
ORD000243,CUST0263,P019,T002,2024-05-02,4,32000,128000
ORD000244,CUST0315,P002,T005,2024-04-07,5,7500,37500
ORD000245,CUST0246,P028,T007,2024-04-14,1,1200,1200
ORD000246,CUST0365,P030,T008,2024-03-12,1,45000,45000
ORD000247,CUST0312,P005,T002,2023-03-17,1,32000,32000
ORD000248,CUST0325,P019,T006,2023-05-10,3,65000,195000
ORD000249,CUST0151,P015,T007,2024-01-26,5,65000,325000
ORD000250,CUST0334,P029,T004,2023-04-12,1,85000,85000
ORD000251,CUST0212,P011,T008,2024-03-16,4,7500,30000
ORD000252,CUST0049,P011,T007,2024-02-13,4,85000,340000
ORD000253,CUST0079,P022,T008,2023-11-17,3,32000,96000
ORD000254,CUST0048,P014,T002,2023-03-10,1,1200,1200
ORD000255,CUST0285,P002,T006,2025-02-01,3,7500,22500
ORD000256,CUST0182,P028,T007,2024-11-17,1,45000,45000
ORD000257,CUST0308,P010,T006,2025-01-08,1,32000,32000
ORD000258,CUST0109,P005,T008,2023-04-17,5,65000,325000
ORD000259,CUST0433,P018,T006,2023-08-18,1,32000,32000
ORD000260,CUST0116,P026,T007,2023-04-28,3,65000,195000
ORD000261,CUST0346,P021,T001,2024-07-28,5,65000,325000
ORD000262,CUST0093,P009,T005,2024-09-15,3,1200,3600
ORD000263,CUST0093,P028,T003,2023-12-14,3,1200,3600
ORD000264,CUST0073,P024,T001,2024-08-02,4,1200,4800
ORD000265,CUST0193,P014,T008,2023-04-04,5,7500,37500
ORD000266,CUST0160,P024,T006,2023-12-16,2,32000,64000
ORD000267,CUST0044,P029,T001,2025-03-06,5,65000,325000
ORD000268,CUST0026,P022,T002,2023-06-09,2,65000,130000
ORD000269,CUST0218,P016,T008,2023-10-06,4,85000,340000
ORD000270,CUST0387,P017,T002,2024-02-29,3,7500,22500
ORD000271,CUST0146,P022,T008,2023-12-20,4,1200,4800
ORD000272,CUST0113,P013,T001,2024-06-23,3,1200,3600
ORD000273,CUST0109,P025,T003,2023-01-08,2,32000,64000
ORD000274,CUST0168,P004,T001,2025-02-21,3,32000,96000
ORD000275,CUST0067,P013,T004,2024-05-24,4,7500,30000
ORD000276,CUST0413,P012,T002,2024-05-27,5,85000,425000
ORD000277,CUST0010,P015,T002,2024-02-11,1,45000,45000
ORD000278,CUST0294,P013,T007,2023-11-17,5,45000,225000
ORD000279,CUST0011,P011,T003,2023-10-24,1,45000,45000
ORD000280,CUST0186,P003,T007,2024-09-24,4,85000,340000
ORD000281,CUST0302,P013,T002,2023-04-19,2,45000,90000
ORD000282,CUST0174,P008,T006,2024-02-10,3,85000,255000
ORD000283,CUST0262,P021,T002,2025-03-08,2,1200,2400
ORD000284,CUST0398,P012,T006,2024-06-27,5,7500,37500
ORD000285,CUST0053,P005,T005,2025-01-14,2,7500,15000
ORD000286,CUST0079,P025,T002,2023-07-22,2,65000,130000
ORD000287,CUST0387,P019,T008,2023-07-01,4,45000,180000
ORD000288,CUST0326,P020,T006,2024-11-28,5,85000,425000
ORD000289,CUST0226,P003,T008,2024-10-04,3,7500,22500
ORD000290,CUST0303,P002,T006,2024-03-28,3,32000,96000
ORD000291,CUST0237,P015,T001,2024-06-03,1,32000,32000
ORD000292,CUST0040,P021,T002,2023-02-28,3,32000,96000
ORD000293,CUST0197,P015,T001,2024-09-21,5,65000,325000
ORD000294,CUST0097,P011,T008,2024-04-05,5,85000,425000
ORD000295,CUST0231,P004,T006,2024-05-28,2,1200,2400
ORD000296,CUST0331,P006,T001,2025-01-01,1,65000,65000
ORD000297,CUST0269,P017,T003,2023-09-11,4,45000,180000
ORD000298,CUST0199,P014,T006,2024-01-08,3,32000,96000
ORD000299,CUST0405,P021,T006,2024-11-26,5,1200,6000
ORD000300,CUST0286,P022,T007,2023-03-09,3,1200,3600
ORD000301,CUST0437,P022,T003,2023-10-18,3,85000,255000
ORD000302,CUST0340,P005,T006,2023-12-08,1,65000,65000
ORD000303,CUST0305,P023,T002,2023-11-14,4,7500,30000
ORD000304,CUST0330,P026,T006,2023-11-14,5,45000,225000
ORD000305,CUST0331,P022,T007,2023-05-11,5,1200,6000
ORD000306,CUST0186,P010,T003,2024-06-04,3,1200,3600
ORD000307,CUST0099,P008,T003,2023-08-08,3,45000,135000
ORD000308,CUST0433,P026,T002,2023-06-08,1,32000,32000
ORD000309,CUST0270,P002,T006,2024-06-03,5,85000,425000
ORD000310,CUST0306,P013,T003,2025-02-23,5,7500,37500
ORD000311,CUST0395,P020,T003,2023-06-16,2,85000,170000
ORD000312,CUST0211,P012,T004,2025-01-08,4,1200,4800
ORD000313,CUST0386,P024,T008,2024-03-30,5,32000,160000
ORD000314,CUST0159,P026,T008,2023-08-28,5,7500,37500
ORD000315,CUST0293,P015,T008,2023-07-18,3,85000,255000
ORD000316,CUST0258,P017,T007,2025-02-26,3,45000,135000
ORD000317,CUST0071,P028,T005,2023-06-15,2,65000,130000
ORD000318,CUST0284,P030,T002,2023-02-23,4,32000,128000
ORD000319,CUST0146,P003,T003,2024-12-29,5,1200,6000
ORD000320,CUST0076,P027,T007,2023-10-07,4,65000,260000
ORD000321,CUST0179,P030,T001,2023-04-04,2,45000,90000
ORD000322,CUST0258,P012,T004,2024-02-29,1,45000,45000
ORD000323,CUST0115,P001,T006,2024-01-31,1,32000,32000
ORD000324,CUST0071,P002,T005,2023-04-12,3,7500,22500
ORD000325,CUST0241,P015,T001,2024-04-28,2,85000,170000
ORD000326,CUST0111,P027,T003,2023-03-23,1,32000,32000
ORD000327,CUST0217,P004,T005,2024-07-15,5,65000,325000
ORD000328,CUST0025,P008,T007,2023-09-01,3,1200,3600
ORD000329,CUST0033,P004,T008,2024-10-16,5,45000,225000
ORD000330,CUST0324,P017,T004,2024-09-03,5,1200,6000
ORD000331,CUST0220,P001,T006,2025-01-05,2,32000,64000
ORD000332,CUST0096,P022,T002,2023-09-04,5,45000,225000
ORD000333,CUST0270,P018,T001,2024-06-20,3,1200,3600
ORD000334,CUST0326,P013,T006,2024-02-04,4,1200,4800
ORD000335,CUST0404,P003,T006,2023-09-17,1,32000,32000
ORD000336,CUST0377,P025,T006,2023-09-04,1,65000,65000
ORD000337,CUST0280,P011,T003,2023-05-17,1,32000,32000
ORD000338,CUST0246,P021,T003,2025-03-08,4,85000,340000
ORD000339,CUST0398,P015,T001,2023-05-19,1,85000,85000
ORD000340,CUST0406,P007,T001,2023-10-28,2,1200,2400
ORD000341,CUST0204,P027,T008,2023-11-20,3,65000,195000
ORD000342,CUST0098,P010,T006,2023-09-17,1,85000,85000
ORD000343,CUST0170,P009,T002,2025-03-10,1,85000,85000
ORD000344,CUST0381,P015,T007,2024-01-12,4,45000,180000
ORD000345,CUST0355,P016,T006,2023-12-14,2,45000,90000
ORD000346,CUST0373,P014,T002,2024-06-15,3,1200,3600
ORD000347,CUST0280,P010,T006,2024-03-16,5,7500,37500
ORD000348,CUST0339,P010,T005,2023-04-16,1,32000,32000
ORD000349,CUST0219,P006,T008,2024-04-01,5,85000,425000
ORD000350,CUST0373,P028,T006,2023-12-26,4,1200,4800
ORD000351,CUST0328,P026,T001,2024-09-21,4,32000,128000
ORD000352,CUST0263,P026,T003,2023-03-18,4,32000,128000
ORD000353,CUST0348,P026,T008,2023-02-01,2,65000,130000
ORD000354,CUST0121,P025,T006,2023-02-05,2,1200,2400
ORD000355,CUST0017,P020,T003,2024-01-06,4,65000,260000
ORD000356,CUST0191,P015,T002,2024-11-26,4,32000,128000
ORD000357,CUST0188,P013,T006,2024-08-10,2,65000,130000
ORD000358,CUST0059,P001,T003,2024-10-27,3,7500,22500
ORD000359,CUST0288,P004,T005,2024-05-26,5,45000,225000
ORD000360,CUST0229,P007,T005,2025-03-04,3,85000,255000
ORD000361,CUST0063,P005,T002,2024-12-11,4,7500,30000
ORD000362,CUST0228,P003,T006,2024-04-07,2,85000,170000
ORD000363,CUST0034,P018,T005,2024-11-14,3,85000,255000
ORD000364,CUST0364,P030,T003,2023-11-04,2,85000,170000
ORD000365,CUST0063,P007,T003,2024-01-06,5,7500,37500
ORD000366,CUST0185,P018,T006,2023-08-31,4,1200,4800
ORD000367,CUST0314,P029,T002,2024-04-23,5,7500,37500
ORD000368,CUST0368,P024,T008,2023-03-09,3,45000,135000
ORD000369,CUST0422,P019,T002,2024-06-22,4,45000,180000
ORD000370,CUST0038,P015,T008,2023-05-09,3,85000,255000
ORD000371,CUST0066,P029,T003,2024-11-27,5,32000,160000
ORD000372,CUST0258,P030,T001,2025-02-25,2,45000,90000
ORD000373,CUST0156,P006,T003,2023-05-08,5,7500,37500
ORD000374,CUST0266,P029,T005,2023-11-27,2,32000,64000
ORD000375,CUST0326,P018,T005,2023-03-22,3,7500,22500
ORD000376,CUST0274,P003,T003,2023-05-09,3,65000,195000
ORD000377,CUST0088,P022,T006,2024-08-29,5,7500,37500
ORD000378,CUST0042,P002,T005,2024-07-31,1,1200,1200
ORD000379,CUST0214,P020,T001,2024-10-28,2,65000,130000
ORD000380,CUST0329,P010,T008,2024-05-24,5,32000,160000
ORD000381,CUST0233,P003,T001,2023-09-08,4,32000,128000
ORD000382,CUST0248,P015,T004,2023-06-11,4,45000,180000
ORD000383,CUST0161,P028,T006,2023-12-15,5,7500,37500
ORD000384,CUST0067,P025,T006,2025-01-21,3,45000,135000
ORD000385,CUST0164,P008,T008,2024-06-11,5,1200,6000
ORD000386,CUST0127,P005,T002,2023-05-06,3,45000,135000
ORD000387,CUST0443,P020,T007,2023-02-21,3,45000,135000
ORD000388,CUST0296,P024,T006,2023-09-12,2,32000,64000
ORD000389,CUST0264,P015,T008,2023-07-14,2,45000,90000
ORD000390,CUST0047,P013,T008,2023-11-12,4,1200,4800
ORD000391,CUST0181,P002,T001,2023-09-04,2,65000,130000
ORD000392,CUST0432,P021,T008,2023-10-16,4,65000,260000
ORD000393,CUST0434,P004,T007,2023-10-20,5,1200,6000
ORD000394,CUST0188,P025,T007,2023-05-18,3,85000,255000
ORD000395,CUST0027,P019,T004,2024-01-10,1,45000,45000
ORD000396,CUST0038,P013,T008,2024-01-07,5,32000,160000
ORD000397,CUST0423,P020,T002,2025-02-21,5,32000,160000
ORD000398,CUST0192,P026,T006,2023-05-12,1,45000,45000
ORD000399,CUST0102,P020,T007,2024-07-25,3,7500,22500
ORD000400,CUST0020,P005,T006,2024-05-27,1,1200,1200
ORD000401,CUST0077,P020,T003,2024-04-30,5,45000,225000
ORD000402,CUST0084,P013,T005,2023-12-02,5,32000,160000
ORD000403,CUST0425,P017,T008,2024-08-30,3,65000,195000
ORD000404,CUST0244,P027,T001,2024-12-26,5,32000,160000
ORD000405,CUST0057,P014,T005,2024-01-13,3,85000,255000
ORD000406,CUST0243,P009,T004,2025-01-12,1,65000,65000
ORD000407,CUST0246,P006,T007,2025-01-08,1,65000,65000
ORD000408,CUST0294,P023,T002,2023-06-01,2,1200,2400
ORD000409,CUST0161,P014,T003,2023-07-15,1,45000,45000
ORD000410,CUST0257,P025,T008,2024-02-27,2,45000,90000
ORD000411,CUST0071,P017,T004,2025-01-23,1,85000,85000
ORD000412,CUST0245,P017,T007,2024-07-28,3,85000,255000
ORD000413,CUST0273,P011,T006,2023-11-18,2,45000,90000
ORD000414,CUST0248,P007,T004,2024-11-23,3,65000,195000
ORD000415,CUST0116,P010,T005,2023-10-13,5,32000,160000
ORD000416,CUST0361,P016,T006,2024-12-22,2,85000,170000
ORD000417,CUST0408,P024,T005,2024-05-06,3,65000,195000
ORD000418,CUST0347,P018,T007,2023-10-22,1,65000,65000
ORD000419,CUST0149,P002,T005,2024-02-09,3,7500,22500
ORD000420,CUST0227,P021,T005,2025-01-01,1,32000,32000
ORD000421,CUST0104,P027,T005,2025-02-04,4,7500,30000
